image,caption
18_dog.jpg,there is a black and white dog standing in front of a white background and looking at the camera with his tongue hanging out
1_dog.jpg,there is a black and white dog that is looking at the camera with a sad look on it's face and a blurry background
35_dog.jpg,there is a dog that is laying in the grass with it's tongue hanging out of its mouth and tongue sticking out
31_dog.jpg,there is a black and white dog laying in the grass with its tongue out and tongue hanging out of it's mouth
5_dog.jpg,there is a dog that is running in the grass with a frisbee in it's mouth and its mouth open
21_dog.jpg,there is a dog that is standing in the grass with a frisbee in it's mouth and it is black and white
9_dog.jpg,there is a black and white dog standing in a field of grass with yellow flowers in the background and a green grass field behind it
10_dog.jpg,there is a black and white dog laying in the grass with it's mouth open and tongue hanging out of its mouth
25_dog.jpg,there is a black and white puppy laying in the grass looking at the camera with a big smile on his face and mouth
13_dog.jpg,there is a dog that is running in the grass with a frisbee in it's mouth and a ball in its mouth
36_dog.jpg,there is a black and white dog that is laying down in the grass with a frisbee in it's mouth
34_dog.jpg,there is a brown and white dog with its mouth open and tongue hanging out of it's mouth while standing in the grass
8_dog.jpg,there is a black and white dog that is sitting in the grass looking at the camera with a serious look on his face
26_dog.jpg,there is a black and white dog standing in a field with trees in the background and a dog with its tongue hanging out
20_dog.jpg,there is a black and white dog sitting next to a pile of hay and a fence with a frisbee in its mouth
22_dog.jpg,there is a dog that is sitting in the grass with a frisbee in it's mouth and his tongue hanging out
3_dog.jpg,there is a black and white dog running in a field with a frisbee in it's mouth on a sunny day
17_dog.jpg,there is a black and white dog that is standing in the grass with a frisbee in it's mouth and a blurry background
23_dog.jpg,there is a black and white dog laying in the grass with a frisbee in it's mouth on a sunny day
37_dog.jpg,there is a black and white dog looking at the camera with a blurry image of it's face in the background
16_dog.jpg,there is a dog that is standing in the grass with a frisbee in it's mouth and it is black and white
38_dog.jpg,there is a black and white dog laying in the grass with his tongue out and his mouth open and tongue hanging out to the side
33_dog.jpg,there is a black and white dog with his tongue out and his mouth wide open and it's looking at the camera
27_dog.jpg,there is a black and white dog laying in the grass with a ball in it's mouth next to a purple ball
29_dog.jpg,there is a black and white dog laying in the grass with a frisbee in it's mouth next to a person
6_dog.jpg,"there is a black and white dog standing in a field with trees in the background and grass in front of him, with his tongue out"
12_dog.jpg,there is a black and white dog that is laying down in the grass with a frisbee in it's mouth
28_dog.jpg,there is a dog that is laying in the grass with a frisbee in it's mouth and it is looking at the camera
4_dog.jpg,there is a black and white dog standing in front of a white background and looking at the camera with a serious look on his face
32_dog.jpg,there is a black and white dog standing in front of a white background and looking at the camera with a serious look on his face
11_dog.jpg,there is a black and white dog that is standing in a field of green grass and yellow dandelions in the background
24_dog.jpg,there is a black and white dog that is laying down in the grass with a frisbee in it's mouth
14_dog.jpg,there is a black and white dog standing in the grass with his mouth open and his tongue hanging out to the side of the frame
39_dog.jpg,there is a black and white dog standing in the middle of a dirt road with its mouth open and its tongue hanging out
2_dog.jpg,there is a black and white dog laying in the grass with a frisbee in it's mouth on the ground
30_dog.jpg,there is a dog that is standing in the grass with a frisbee in it's mouth and a leash attached to it
15_dog.jpg,there is a black and white dog standing in the woods with his tongue hanging out and his mouth wide open and tongue out
7_dog.jpg,there is a black and white dog laying on the grass on a hill with mountains in the background and a cloudy sky above
19_dog.jpg,there is a black and white dog jumping over a yellow and blue pole at a dog agility competition in a field with people watching
40_dog.jpg,there is a black and white dog that is standing in the grass by a body of water with trees and grass behind it
