image,caption
19_swan.jpg,there are two white swans floating in the water together on a foggy day and one is looking at the camera and the other is watching
39_swan.jpg,there are a lot of birds that are walking around in the grass and one is white and the other is black and yellow
31_swan.jpg,this is an image of a swan taking off from a body of water with it's wings spread out and its head in the water
9_swan.jpg,there is a white swan swimming in a body of water with a black and white photo of it's head in the water
24_swan.jpg,there is a duck that is standing in the water and looking at the camera with a yellow beak and a black body of water
2_swan.jpg,there is a white swan that is sitting on the sand by the water's edge and looking at something in the distance
12_swan.jpg,there is a white swan swimming in the water with a black head and a yellow beak on it's back and neck
8_swan.jpg,there are two swans that are standing in the grass with their wings spread and one of them is touching the other's head
1_swan.jpg,there is a white swan that is standing in the grass by a body of water and a bird that has it's beak open
29_swan.jpg,this is a close up of a white swan with a yellow beak and a black head and neck with water droplets on its face
35_swan.jpg,there is a large white bird with orange beak floating in a body of water with its wings spread out and its head in the water
20_swan.jpg,there is a bird that is standing in the water with its head turned to look like it's looking for something to eat
36_swan.jpg,there is a white swan that is standing in the grass by a body of water with a bird on the other side of it
18_swan.jpg,there is a white swan flying in the sky with it's wings spread out and a yellow beak is on the wing
16_swan.jpg,there is a bird that is sitting in the water with a yellow headband on it's head and a long neck
38_swan.jpg,this is a picture of a duck with a yellow beak swimming in a body of water with trees and grass in the background
21_swan.jpg,there is a white swan that is swimming in the water with it's head above the surface of a body of water
7_swan.jpg,there is a bird that is flying over the water with it's wings spread out to catch a fish in the air
14_swan.jpg,there are three swans swimming in the water together on a sunny day and one is looking at the camera and the other is watching
11_swan.jpg,there is a close up of a white duck with a yellow beak and a black body of water in front of black background
3_swan.jpg,"there is a white swan standing in the grass with a yellow beak and a black head and legs, and it is looking at the camera"
26_swan.jpg,there are many white birds standing in a field of green grass with one bird with a yellow tag on it's neck
37_swan.jpg,there is a swan that is floating in the water with its wings spread out and it's head turned to the side
27_swan.jpg,there is a large white swan standing on the grass by the water with its wings spread out and it's wings wide open
17_swan.jpg,there is a white swan that is floating in the water with its wings spread out and it's head turned to the side
10_swan.jpg,there are two swans swimming in the water together on a sunny day with a black and white frame around the edges of the frame
32_swan.jpg,there are two swans that are swimming in the water near the shore of the lake and one of them has a yellow beak
40_swan.jpg,there is a swan that is flying over the water with it's wings spread out to catch a fish in its mouth
33_swan.jpg,there is a white swan that is floating in the water with a black frame around it's neck and a yellow beak
13_swan.jpg,there is a large white swan standing in the water on the shore of a lake and looking at the camera with a bright yellow beak
5_swan.jpg,there is a white swan swimming in a body of water with a black and white pattern on it's head and neck
25_swan.jpg,there are three white birds standing in a field of grass near a pond of water and a bird with a yellow beak is looking at the camera
6_swan.jpg,there is a duck that is swimming in the water at the same time as the sun shines on the other side of it
4_swan.jpg,"there is a bird that is standing in the grass with its beak in it's mouth, and another bird is behind it"
30_swan.jpg,there is a swan that is floating in the water with its wings spread out and it's head turned to look like a heart
22_swan.jpg,this is a close up of a duck with a yellow beak in a body of water with water in the background and a blue sky
34_swan.jpg,there is a white duck with a yellow beak standing in a body of water with ripples on the surface of the water
15_swan.jpg,there are three swans that are standing in the grass near each other and one is white and the other is black and white
23_swan.jpg,this is a picture of a white swan swimming in a body of water with a black frame around it's neck and a yellow beak
28_swan.jpg,this is a close up of a duck's head with water droplets in the back ground and a body of water behind it
