image,caption
15_cat.jpg,there is a cat that is sitting on top of a piece of wood and looking at the camera
13_cat.jpg,there is a white cat with blue eyes laying down on a gray surface and looking at the camera
8_cat.jpg,there is a cat that is sitting on a blanket with a christmas ornament in front of it
14_cat.jpg,there is a cat that is sitting on a dresser with its paws on the top of the dresser
20_cat.jpg,there is a cat that is sitting on the floor looking at the camera with a sad look on its face
11_cat.jpg,"there is a white kitten that is sitting on top of a scratching scratching scratch scratching, cat scratch scratch,"
18_cat.jpg,there is a gray and white cat sitting on top of a bed next to a wooden closet door
2_cat.jpg,there is a white cat standing on its hind legs on a wooden floor with a curtain behind it
12_cat.jpg,there is a white cat with blue eyes sitting on a blue blanket looking up at something in the distance
16_cat.jpg,there is a cat that is sitting under a chair with a toy in it's paws on the floor
