image,caption
16_dog.jpg,there is a black and white dog that is standing in a field of grass with yellow flowers on the other side of the dog's head and it is looking at the camera with a big smile
15_dog.jpg,there is a black and white dog that is standing in a field of grass with yellow dandelions in the background and a picture of the dog's face is looking at the camera with his left side
8_dog.jpg,there is a black and white dog laying in the grass with a frisbee in it's mouth and his mouth is wide open and he is looking at the camera with his tongue out to the side
6_dog.jpg,there is a brown and white dog standing on a beach next to a body of water with a blue sky in the background and a white and brown dog looking at the camera with it's mouth
20_dog.jpg,there is a black and white dog running in the grass with a frisbee in it's mouth and a blurry image of the dog in front of trees behind him and back ground behind it
10_dog.jpg,"there is a black and white dog standing in the grass with its mouth open and tongue hanging out of it's mouth, looking at the camera with a wide open mouth and a green field behind him"
14_dog.jpg,there is a black and white dog standing in the grass with a frisbee in it's mouth and it is looking to the left of the camera with its mouth open wide open open mouth
11_dog.jpg,"there is a black and white dog standing in front of a tree with it's mouth open and its tongue hanging out and tongue out, with its mouth wide open, looking at the camera to the side"
5_dog.jpg,there is a dog that is laying in the grass with a frisbee in it's mouth and a black and white dog on the other dog is looking at the same side of the camera
17_dog.jpg,there is a black and white dog that is standing in the grass with a frisbee in it's mouth and a blurry background of trees and grass behind him is the dog behind it
